id,name,cas_no,synonyms_iupac
KTP207,ketoprofenEPimpurityG,5537-71-3,
KTP208,3-(1-cyanoethyl)benzoicacid,5689-33-8,KetoprofenEPImpurityH Labetalol
LBT100,Labetalol,32780-64-6,2-hydroxy-5-((S)-1-hydroxy-2-(((S)-4-phenylbutan-2- yl)amino)ethyl)benzamidehydrochloride
LBT201,LabetalolEPImpurityA,1391051-99-2,2-Hydroxy-5-[1-hydroxy-2-[(1-methyl-3-phenylpropyl)amino]ethyl]benzoicAcid
LBT202,LabetalolEPImpurityB,802620-01-5,/33778-93-7 methyl2-hydroxy-5-((S)-1-hydroxy-2-(((S)-4-phenylbutan-2-yl)amino)ethyl)benzoate
LBT203,LabetalolEPImpurityC,NA,5-(2-(benzylamino)-1-hydroxyethyl)-2-hydroxybenzamide
LBT204,LabetalolEPImpurityD,NA,5-[(1RS)-2-amino-1-hydroxyethyl]-2-hydroxybenzamide
LBT207,LabetalolEPImpurityG,NA,3-bromo-2-hydroxy-5-[1-hydroxy-2-[(1-methyl-3-phenylpropyl)amino]ethyl]benzamide. Lacidipine
LCD100,Lacidipine,3890-78-4,"Diethyl4-{o-[(E)-2-tert-butoxycarbonylethenyl]phenyl}-2,6-dimethyl-1,4-dihydropyridine-3,5-dicarboxylate"
LCD401,cisLacidipine,103890-79-5,"(Z)-4-[2-[3-(1,1-Dimethylethoxy)-3-oxo-1-propenyl]phenyl]-1,4-dihydro-2,6-dimethyl-3,5- pyridinedicarboxylicAcid Diethyl Ester Lacosamide Page38"
LCS100,Lacosamide,175481-36-4,(2R)-2-(Acetylamino)-3-methoxy-N-(phenylmethyl)propanamide
LCS201,LacosamideEPImpurityA,175481-37-5,(S)-2-(Acetylamino)-3-methoxy-N-(phenylmethyl)propanamide
LCS202,LacosamideEPImpurityB,1318777-54-6,"LacosamideO-AcetylImpurity, LacosamideBPImpurityB"
LCS203,LacosamideEPImpurityC,2742962-60-1,(R)-N-Benzyl-3-methoxy-2-(N-methylacetamido)propanamide
LCS204,LacosamideEPImpurityD,196601-69-1,(2R)-2-Amino-3-methoxy-N-(phenylmethyl)-propanamide.BPImpurityD
LCS205,LacosamideEPImpurityE,175481-39-7,"LacosamideBPImpurityE,DesacetyldesmethylLacosamide"
LCS206,LacosamideEPImpurityF,175481-38-6,DesmethylLacosamide(HydroxyImp)
LCS207,LacosamideEPImpurityG,588-46-5,"N-benzylacetamideLacosamide,N-(Phenylmethyl)-acetamide"
LCS208,LacosamideEPImpurityH,NA,"USPDimer(R,Risomer)"
LCS209,LacosamideEPImpurityI,2295925-90-3,(R)-N-benzyl-2-(3-benzylureido)-3-methoxypropanamide
LCS210,LacosamideEPImpurityJ,100-46-9,phenylmethanamine
LCS211,LacosamideEPImpurityK,86921-49-5,2-acetamido-N-benzylacrylamide
LCS212,LacosamideEPImpurityL,388619-64-5,(R)-2-(Acetylamino)-3-methoxy-N-methyl-N-(phenylmethyl)-propanamide
LCS401,N-Acetyl-O-methyl-D-serine,196601-67-9,N-Acetyl-O-methyl-D-serine;(R)-2-(Acetylamino)-3-methoxypropionicAcid
LCS402,LacosamideImpurity1,NA,2-acetamido-3-methoxypropanamide
LCS403,LacosamideImpurityC,1466-67-7,"1,3-Dibenzyl-urea;N,N'-Bis(phenylmethyl)urea"
LCS404,2-Acetamido-N-benzyl-3-hydroxypropanamide,171623-02-2,2-Acetamido-N-benzyl-3-hydroxypropanamide
LCS405,2-Amino-3-hydroxy-N-(phenylmethyl)-propanamide,NA,2-Amino-3-hydroxy-N-(phenylmethyl)-propanamide
LCS301,LacosamideRelatedCompoundA,NA,(R)-tert-Butyl1-(Benzylamino)-3-methoxy-1-oxopropan-2-ylcarbamate. Page39 Lamotrigine LMT100 Lamotrigine
LMT201,LamotrigineEPImpurityA,252186-78-0,"LamotrigineUSPRCC;3-Amino-6-(2,3-dichlorophenyl)-1,2,4-triazin-5(4H)-one"
LMT205,LamotrigineEPImpurityE,50-45-3,
LMT206,"LamotrigineRelatedCompoundB, 2,3-Dichlorobenzoicacid",252186-79-1,LamotrigineEPImpurityF
LMT401,LamotrigineDiamideImpurity,1373393-59-9,LamotrigineRelatedCompoundD Lansoprazole
LNS100,LansoprazoleSodium,NA,"2-[[3-Methyl-4-(2,2,2-trifluoroethoxy)pyridin-2-yl]methylsulfinyl]-1H-benzoimidazole"
LNS201,LansoprazoleEPImpurityA,213476-12-1,LansoprazoleN-Oxide
LNS202,LansoprazoleEPImpurityB,131926-99-3,"LansoprazoleUSPRelatedCompoundA;LansoprazoleSulfone,DexlansoprazoleSulfone"
LNS203,LansoprazoleEPImpurityC,103577-40-8,/1288338-69-1 LansoprazoleUSPRelatedCompoundB;LansoprazoleSulfide
LNS204,LansoprazoleEPImpurityD,615-16-7,1H-Benzimidazol-2-ol; 2-Hydroxybenzimidazole
LNS205,LansoprazoleEPImpurityE,583-39-1,2-Mercaptobenzimidazole
LNS401,LansoprazoleSulfideN-Oxide,163119-30-0,"2-[[[3-Methyl-4-(2,2,2-trifluoroethoxy)-2-pyridinyl]methyl]thio]-1H-benzimidazoleN-Oxide"
LNS402,LansoprazoleSulfoneN-Oxide,953787-54-7,"2-[[[3-Methyl-1-oxido-4-(2,2,2-trifluoroethoxy)-2-pyridinyl]methyl]sulfonyl]-1H-benzimidazole Leflunomide"
LFN100,Leflunomide,75706-12-6,5-methyl-N-(4-(trifluoromethyl)phenyl)isoxazole-4-carboxamide
LFN201,LeflunomideEPImpurityA,455-14-1,LeflunomideUSPRCA;4-(trifluoromethyl)aniline Page40
LFN202,LeflunomideEPImpurityB,163451-81-8,"LeflunomideUSPRCB; (Z)-2-cyano-3-hydroxy-N-(4-(trifluoromethyl)phenyl)but-2-enamide,Teriflunomide"
LFN203,LeflunomideEPImpurityC,61643-23-0,LeflunomideUSPRCC; 5-methyl-N-(3-(trifluoromethyl)phenyl)isoxazole-4-carboxamide
LFN204,LeflunomideEPImpurityD,42831-50-5,5-methylisoxazole-4-carboxylicacid
LFN205,LeflunomideEPImpurityE,208401-20-1,3-methyl-N-(4-(trifluoromethyl)phenyl)isoxazole-4-carboxamide
LFN206,LeflunomideEPImpurityF,1403564-06-6,5-methyl-N-(2-(trifluoromethyl)phenyl)isoxazole-4-carboxamide
LFN207,LeflunomideEPImpurityG,724429-16-7,5-methyl-N-(p-tolyl)isoxazole-4-carboxamide
LFN208,LeflunomideEPImpurityH,24522-30-3,2-cyano-N-(4-(trifluoromethyl)phenyl)acetamide
LFN401,LeflunomideImpurity1,20328-15-8,ethyl3-methylisoxazole-4-carboxylate
LFN402,LeflunomideImpurity2,17153-20-7,3-Methylisoxazole-4-carboxylicAcid
LFN403,LeflunomideImpurity3,1011244-72-6,4-Amino-N-[4-(trifluoromethyl)phenyl]benzamide/TeriflunomideImpurity3 Lenalidomide
LND100,Lenalidomide,191732-72-6,"3-(4-Amino-1,3-dihydro-1-oxo-2H-isoindol-2-yl)-2,6-piperidinedione Levocetirizine"
LVC100,Levocetirizine,130018-77-8,(R)-2-(2-(4-((4-chlorophenyl)(phenyl)methyl)piperazin-1-yl)ethoxy)aceticacid
LVC207,LevocetirizineEPImpurityG,109806-71-5,(RS)-2-[4-[(4-chlorophenyl)phenylmethyl]piperazin-1-yl]ethan-1-ol
LVC401,LevocetirizineImpurity2,300543-56-0,"(R)-1-((4-chlorophenyl)(phenyl)methyl)piperazine,ChlorobenzhydrylPiperazine"
LVC402,LevocetirizineImpurity1,1150310-68-1,LevocetirizineN-Benzylamide Levodopa
LVD100,Levodopa,59-92-7,"(S)-2-amino-3-(3,4-dihydroxyphenyl)propanoicacid Page41"
LVD201,LevodopaEPImpurityA,27244-64-0,"Levodopa USPRelated CompoundA ; (2S)-2-Amino-3-(2,4,5-trihydroxyphenyl)propanoic acid"
LVD202,LevodopaEPImpurityB,60-18-4,L-tyrosine;(2S)-2-Amino-3-(4-hydroxyphenyl)propanoicacid
LVD203,LevodopaEPImpurityC,7636-26-2,Levodopa USPRelated Compound B ;3-Methyl-DL-Dopa ; 3-Methoxy-DL-tyrosine
LVD204,LevodopaEPImpurityD,5796-17-8,"(R)-2-amino-3-(3,4-dihydroxyphenyl)propanoic acid ;D-Dopa"
LVD401,LevodopaImpurity1,32404-28-7,/32483-30-0 3-Acetyl-L-tyrosineHydrochloride
LVD402,LevodopaImpurity2,55-59-4,"3,4-Dimethoxyphenylalanine;DL-3,4-Dimethoxyphenylalanine Levomefolate Levomefolate 151533-22-1/ LVM100 N-[4-[[[(6S)-2-Amino-3,4,5,6,7,8-hexahydro-5-methyl-4-oxo-6-pteridinyl]methyl]amino]benzoyl]-L- 31690-09-2 glutamicAcid Calcium Salt Lidocaine"
LDC100,Lidocaine,137-58-6,"Anestacon;2-(Diethylamino)-N-(2,6-dimethylphenyl)acetamide"
LDC201,LidocaineEPImpurityA,87-62-7,"BupivacaineEPImpurityF;LidocaineUSPImpurityA;2,6-Dimethylaniline"
LDC202,LidocaineEPImpurityB,2903-45-9,LidocaineN-Oxide
LDC203,LidocaineEPImpurityC,2198-53-0,
LDC204,"N-(2,6-Dimethylphenyl)acetamide",7729-94-4,Lidocaine-ImpurityD(Hydrochloride)
LDC205,LidocaineEPImpurityE,745798-07-6,LidocaineUSPImpurityE;LidocaineDimerImpurity
LDC206,LidocaineEPImpurityF,857170-72-0,"/142713-08-4 Lidocaine2,3-DimethylAnalog"
LDC207,LidocaineEPImpurityG,35891-87-3,"N-(2,6-dimethylphenyl)-2-((1-methylethyl)amino)acetamidehydrochloride"
LDC208,LidocaineEPImpurityH,1131-01-7,"LidocaineUSPRelatedCompoundH;2-Chloro-N- (2,6-dimethylphenyl)acetamide"
LDC209,LidocaineEPImpurityI,17289-54-2,"/17289-53-1 Lidocaine2,4-DimethylAnalog Page42"
LDC210,LidocaineEPImpurityJ,1012864-23-1,/857570-37-7
LDC401,"Lidocaine2,4-DimethylAnalog",17289-53-1,LidocaineImpurityIFree
LDC402,LidocaineImpurity1,39084-88-3,"n-Dichloroacetyl-2,6-Xylidine,2,2-Dichloro-N-(2,6-dimethylphenyl)acetamide Linagliptin"
LNG100,Linagliptin,668270-12-0,"(R)-8-(3-aminopiperidin-1-yl)-7-(but-2-yn-1-yl)-3-methyl-1-((4-methylquinazolin-2-yl)methyl)-3,7-dihydro-1H- purine-2,6-dione Lisinopril"
LSN100,LisinoprilDihydrate,83915-83-7,(S)-1-[N2-(1-Carboxy-3-phenylpropyl)-L-lysyl]-L-prolineDihydrate
LSN202,LisinoprilEPImpurity B,104-15-4,4-methylbenzenesulfonicacid
LSN203,LisinoprilEPImpurity C,328385-86-0,"S,S,S-Diketopiperazine(lisinoprilrelatedcompoundA)"
LSN204,LisinoprilEPImpurity D,219677-82-4,"R,S,S-Diketopiperazine lobeglitazone"
LBG401,lobeglitazoneImpuirty1,607723-69-3,2-((6-(4-methoxyphenoxy)pyrimidin-4-yl)(methyl)amino)ethan-1-ol
LBG402,lobeglitazoneImpuirty2,NA,4-(2-((6-(4-Methoxyphenoxy)pyrimidin-4-yl)(methyl)amino)ethoxy)benzaldehyde lohexol
IOH301,lohexolRelatedCompoundA,31127-80-7,"(5-(Acetylamino)-N,N’-bis(2,3-dihydroxypropyl)-2,4,6-triiodo-1,3-benzenedicarboxamide)"
IOH302,lohexolRelatedCompoundB,76801-93-9,"5-Amino-N1,N3-bis(2,3-dihydroxypropyl)-2,4,6-triiodoisophthalamide,"
IOH303,lohexolRelatedCompoundC,76820-34-3,"(N,N’-Bis(2,3-dihydroxypropyl)-5-nitro-1,3-benzenedicarboxamide) Loperamide"
LPR100,Loperamide,53179-11-6,"4-(4-(4-chlorophenyl)-4-hydroxypiperidin-1-yl)-N,N-dimethyl-2,2-diphenylbutanamide Page43"
LPR203,LoperamideEPImpurityC,39512-49-7,4-(4-chlorophenyl)piperidin-4-ol Loratadine
LRT100,Loratadine,79794-75-5,"Ethyl4-(8-chloro-5,6-dihydro-11H-benzo[5,6]cyclohepta[1,2- b]pyridin-11-ylidene)-1-piperidinecarboxylate"
LRT202,LoratadineEPImpurityB,31251-41-9,"Loratadine USP Related Compound C ; 8-Chloro-5,6-dihydro-11H- benzo[5.6]cyclohepta[1,2-b]pyridin-11-one"
LRT204,LoratadineEPImpurityD,100643-71-8,Desloratadine;LoratadineUSPRelatedCompoundA
LRT207,LoratadineEPImpurityG,38092-89-6,N-MethylDesloratadine;LoratadineUSPRelatedCompoundB
LRZ302,Lorazepam,2958-36-3,LORAZEPAMRELATEDCOMPOUNDB Lornoxicam
LRN100,Lornoxicam,70374-39-9,"6-Chloro-4-hydroxy-2-methyl-N-(pyridin-2-yl)-2H-thieno[2,3-e][1,2]thiazine-3-carboxamide1,1-dioxide Losartan"
LSR100,LosartanBase,114798-26-4,"2-Butyl-4-chloro-1-[[2'-(1H-tetrazol-5-yl)[1,1'-biphenyl]-4-yl]methyl]-1H-imidazole-5-methanol"
LSR101,LosartanPotassium,124750-99-8,"2-Butyl-4-chloro-1-[[2'-(1H-tetrazol-5-yl)[1,1'-biphenyl]-4-yl]methyl]-1H-imidazole-5- methanolmonopotassiumsalt"
LSR201,LosartanEPImpurityA,79047-41-9,
LSR204,2-Butyl-4-chloro-1H-imidazole-5-methanol,83857-96-9,LosartanEPImpurityD
LSR211,LosartanEPImpurityK,114798-36-6,Losartan USP RC C ; Losartan Aldehyde ; 2-Butyl-4-chloro-1-[p-(o-1H-tetrazol-5-ylphenyl)benzyl]imidazole-5- formaldehyde Lurasidone
LRS100,Lurasidone,367514-87-2,"(3aR,4S,7R,7aS)-2-(((1R,2R)-2-((4-(benzo[d]isothiazol-3-yl)piperazin-1- yl)methyl)cyclohexyl)methyl)hexahydro-1H-4,7-methanoisoindole-1,3(2H)-dione Page44"
LRS401,Lurasidone Sulfoxide,1809325-45-8,LurasidoneDP4-IMPURITY
LRS402,Lurasidone Sulfone,1644295-09-9,/1807607-99-3 LURASIDONEDP5-IMPURITY Lurasidone Enantiomer
LRS403,"(3aR,4S,7R,7aS)-2-{(1S,2S)-2-[4-(1,2-Benzisothiazol-3-yl)piperazin-1-yl methyl] cyclohexylmethyl}hexahydro-",1448443-35-3,"4,7-methano-2H-isoindole-1,3-dione Hydrochloride;(3aR,4S,7R,7aS)-2-(((1S,2S)-2-((4-(Benzo[d]isothiazol-3- yl)piperazin-1-yl)methyl)cyclohexyl)methyl)hexahydro-1H-4,7-methanoisoindole-1,3(2H)- dioneHydrochloride LurasidoneNoxide"
LRS404,"(3aR,4S,7R,7aS)-2-[[(1R,2R)-2-[[4-(1,2-Benzisothiazol-3-yl)-1-oxido-1-",1574569-32-6,"piperazinyl]methyl]cyclohexyl]methyl]hexahydro-4,7-methano-1H-isoindole-1,3(2H)- dione;LurasidonePiperazineN-Oxide"
LRS405,Lurasidone amine,1260138-03-1,"N-[1R,2R-(2-Methylamino)cyclohex-1-yl)methyl]-N’-(1,2-benzisothiazol-3-yl)piperazine"
LRS406,Lurasidonedimer impurity,2518442-98-1,"(1R,2R)-1,2-bis((4-(benzo[d]isothiazol-3-yl)piperazin-1-yl)methyl)cyclohexane"
LRS407,Lurasidoneimpurity1,186204-37-5,"(3aR,7aR)-4'-(benzo[d]isothiazol-3-yl)octahydrospiro[isoindole-2,1'-piperazin]-2-iummethanesulfonate"
LRS408,Lurasidoneimpurity2,186204-35-3,"(1R,2R)-1,2-bis(methane sulfonyloxymethyl)Cyclohexane Mefenamic"
MFN100,acid,61-68-7,Mefenamicacid
MFN201,MFN100 61-68-7 Mefenamicacid,87-59-2,MefenamicacidEPimpurityA
MFN203,MFN201 87-59-2 MefenamicacidEPimpurityA,118-91-2,MefenamicacidEPimpurityC
MFN204,MFN203 118-91-2 MefenamicacidEPimpurityC,65-85-0,MefenamicacidEPimpurityD Melantonin
MLT100,Melantonin,73-31-4,N-(2-(5-methoxy-1H-indol-3-yl)ethyl)acetamide
MLT301,MelantoninUSPRelatedCompoundA,608-07-1,2-(5-methoxy-1H-indol-3-yl)ethan-1-amine Page45
MLR100,Melitracen,10563-70-9,Melitracenhydrochloride Meloxicam
MLX100,Meloxicam,71125-38-7,"4-hydroxy-2-methyl-N-(5-methylthiazol-2-yl)-2H-benzo[e][1,2]thiazine- 3-carboxamide1,1-dioxide"
MLX201,MeloxicamEPImpurityA,24683-26-9,"MeloxicamUSP RelatedCompoundA; ethyl4-hydroxy-2-methyl-2H-1,2-benzothiazine-3-carboxylate1,1-dioxide"
MLX202,MeloxicamEPImpurityB,7305-71-7,MeloxicamUSP RelatedCompoundB;5-methylthiazol-2-amine
MLX203,MeloxicamEPImpurityC,1262333-25-4,"Methyl-meloxicamc USP, N-[(2Z)-3,5-dimethylthiazol-2(3H)-ylidene]-4-hydroxy-2-methyl-2H-1,2- benzothiazine-3-carboxamide1,1-dioxide"
MLX204,MeloxicamEPImpurityD,1331636-17-9,"Meloxicam USP RC D; N-[(2Z)-3-ethyl-5-methylthiazol-2(3H)-ylidene]-4-hydroxy-2-methyl-2H-1,2- benzothiazine-3-carboxamide1,1-dioxide"
MLX205,MeloxicamEPImpurityE,35511-15-0,"methyl4-hydroxy-2-methyl-2H-1,2-benzothiazine-3-carboxylate1,1-dioxide"
MLX206,MeloxicamEPImpurityF,118854-48-1,"MeloxicamUSP RelatedCompoundC; isopropyl4-hydroxy-2-methyl-2H-1,2-benzothiazine-3-carboxylate1,1-dioxide Memantine"
MNT100,MemantineHCl,41100-52-1,"3,5-Dimethyltricyclo[3.3.1.13,7]decan-1-aminehydrochloride"
MNT301,MemantineRelatedCompoundA,702-79-4,"(1r,3r,5s,7s)-1,3-dimethyladamantane"
MNT302,MemantineRelatedCompoundB,707-37-9,"(1r,3R,5S,7r)-3,5-dimethyladamantan-1-ol"
MNT303,MemantineRelatedCompoundC,707-36-8,"(1r,3R,5S,7r)-1-chloro-3,5-dimethyladamantane"
MNT304,MemantineRelatedCompoundD,941-37-7,"(1r,3R,5S,7r)-1-bromo-3,5-dimethyladamantane"
MNT305,MemantineRelatedCompoundE,351329-88-9,"N-((1r,3R,5S,7r)-3,5-dimethyladamantan-1-yl)formamide Page46"
MNT401,Acetyl memantine,19982-07-1,"N-((1r,3R,5S,7r)-3,5-dimethyladamantan-1-yl)acetamide"
MNT402,1-Amino-3-MethyladmantaneHCl,33103-93-4,"(1s,3s,5R,7S)-3-methyladamantan-1-aminehydrochloride Mesalazine"
MSL100,Mesalazine,89-57-6,5-Amino-2-hydroxybenzoicacid.;Mesalamine
MSL201,MesalazineEPImpurityA,123-30-8,"4-aminophenol, MesalamineEP ImpurityA"
MSL202,MesalazineEPImpurityB,591-27-5,"3-aminophenol, MesalamineEP ImpurityB"
MSL203,MesalazineEPImpurityC,95-55-6,2-aminophenol.;MesalamineEP ImpurityC
MSL204,MesalazineEPImpurityD,99-05-8,3-aminobenzoicacid.;MesalamineEP impurityD
MSL205,MesalazineEPImpurityE,65-49-6,4-amino-2-hydroxybenzoic acid (4-aminosalicylic acid).;Mesalamine EP Impurity E
MSL206,MesalazineEPImpurityF,570-23-0,3-amino-2-hydroxybenzoic acid (3-aminosalicylic acid).;Mesalamine EP Impurity F
MSL207,MesalazineEPImpurityG,490-79-9,"2,5-dihydroxybenzoicacid.;MesalamineEpImpurityG"
MSL208,MesalazineEPImpurityH,69-72-7,2-hydroxybenzoicacid(salicylicacid).;MesalamineEPImpurityH
MSL209,MesalazineEPImpurityI,3147-53-3,2-hydroxy-5-(phenyldiazenyl)benzoic acid (phenylazosalicylic acid).;Mesalamine EP Impurity I
MSL210,MesalazineEPImpurityJ,112725-89-0,"3,5-diamino-2-hydroxybenzoicacid(3,5-diaminosalicylicacid).;MesalamineEP ImpurityJ"
MSL211,MesalazineEPImpurityK,142-04-1,anilinehydrochloride
MSL212,MesalazineEPImpurityL,118-91-2,2-chlorobenzoicacid.;MesalamineEPImpurityL
MSL213,MesalazineEPImpurityM,2516-96-3,"2-chloro-5-nitrobenzoicacid,.;MesalamineEP ImpurityM"
MSL214,MesalazineEPImpurityN,96-97-9,2-hydroxy-5-nitrobenzoic acid (5-nitrosalicylic acid). ;Mesalamine EP Impurity N Page47
MSL215,MesalazineEPImpurityO,121-57-3,4-aminobenzenesulfonicacid(sulfanilicacid).;MesalamineEPImpurityO
MSL217,MesalazineEPImpurityQ,3970-35-2,2-chloro-3-nitrobenzoicacid.;MesalamineEPImpurityQ
MSL218,MesalazineEPImpurityR,85-38-1,2-hydroxy-3-nitrobenzoic acid (3-nitrosalicylic acid). ;Mesalamine EP Impurity R Metamizole
MTZ100,MetamizoleSodiumMonohydrate,5907-38-0,"Methanesulfonicacid,[(2,3-dihydro-1,5-dimethyl-3-oxo-2-phenyl-1H-pyrazol-4-yl)methylamino]"
MTZ201,MetamizoleEPImpurityA,1672-58-8,"4-(formylamino)-1,5-dimethyl-2-phenyl-2,3-dihydro-1H-pyrazol-3-one;4-FormylaminoAntipyrine"
MTZ202,MetamizoleEPImpurityB,83-07-8,"4-Aminophenazone;4-amino-1,5-dimethyl-2-phenyl-2,3-dihydro-1H-pyrazol-3-one;4-Aminophenazone 519-98-2/856307-27-2(Hcl MetamizoleEPImpurityC MTZ203 salt) 1,5-dimethyl-4-(methylamino)-2-phenyl-2,3-dihydro-1H-pyrazol-3-one;4-MethylaminoAntipyrine"
MTZ204,MetamizoleEPImpurityD,58-15-1,"4-(dimethylamino)-1,5-dimethyl-2-phenyl-1,2-dihydro-3H-pyrazol-3-one;4-DimethylaminoAntipyrine"
MTZ205,Metamizole EPImpurityE,117-38-4,"/129-89-5 DipironeImpurityE;((1,5-dimethyl-3-oxo-2-phenyl-2,3-dihydro-1H-pyrazol-4-yl)amino)methanesulfonicacid"
MTF100,Metformin,1115-70-4,MetforminHCl
MTF201,MetforminEPImpurityA,461-58-5,MetforminUSPRCA;1-Cyanoguanidine
MTF203,MetforminEPImpurityB,2959-04-0,"8 Guanylmelamine HCl;(4,6-Diamino-1,3,5-triazin-2-yl)guanidine HCl"
MTF204,MetforminEPImpurityD,108-78-1,"Melamine;1,3,5-Triazine-2,4,6-triamine"
MTF205,MetforminEPImpurityE,1609-00-3,/1674-62-0 N-Methyl-imidodicarbonimidicDiamideHCl Methyltestoste rone
MTS100,Methyltestosterone,58-18-4,17-Hydroxy-17-methyl-3-keto-androstene-4 Page48 Metolazone
MTL100,Metolazone,17560-51-9,"7-Chloro-1,2,3,4-tetrahydro-2-methyl-3-(2-methylphenyl)-4-oxo-6-quinazolinesulfonamide"
MTL201,MetolazoneEPImpurityA,50869-25-5,MetolazoneUSPRCC;meta-Metolazone
MTL202,MetolazoneEPImpurityB,28508-63-6,"MetolazoneUSPRCD; MetolazoneEPImpurityC MTL203 MetolazoneUSPRCA;Desmethylmetolazone; 7-Chloro-1,2,3,4-tetrahydro-2-methyl-4-oxo-3-phenyl-6-quinazolinesulfonamide"
MTL204,MetolazoneEPImpurityD,4015-23-0,MetolazoneUSPRCE;Didehydrometolazone
MTL205,MetolazoneEPImpurityE,23380-54-3,MetolazoneUSPRCB;Metolazonebenzamideanalog
MTP100,Metoprolol,98418-47-4,MetoprololSuccinate
MTP201,MetoprololEPImpurityA,109632-08-8,MetoprololUSP RelatedCompoundA
MTP202,MetoprololEPImpurityB,56718-71-9,4-(2-Methoxyethyl)phenol
MTP203,MetoprololEPImpurityC,29122-74-5,MetoprololUSP RelatedCompoundC; 4-[(2RS)-2-Hydroxy-3-[(1-methylethyl)amino]propoxy]benzaldehyde
MTP204,MetoprololEPImpurityD,62572-90-1,"(2RS)-3-[4-(2-Methoxyethyl)phenoxy]propane-1,2-diol"
MTP206,MetoprololEPImpurityF,7695-63-8,(2RS)-1-[(1-Methylethyl)amino]-3-phenoxypropan-2-ol
MTP207,MetoprololEP ImpurityG,501-94-0,2-(4-Hydroxyphenyl)ethanol
MTP215,MetoprololEPImpurityO,1486464-40-7,"Metoprolol USP Related Compound D ; 1,1-[(1-Methylethyl)imino]bis[3-[4-(2-methoxyethyl)phenoxy] propan2-ol]Hydrochloride"
MTP302,MetoprololUSPRelatedCompoundB,56718-76-4,(+/-)1-Chloro-2-hydroxy-3-[4-(2-methoxyethyl)phenoxy]-propane Metronidazole Page49
MTR100,Metronidazole,443-48-1,2-(2-methyl-5-nitro-1H-imidazol-1-yl)ethan-1-ol
MTR201,MetronidazoleEPimpurityA,696-23-1,2-methyl-5-nitro-1H-imidazole
MTR202,MetronidazoleEPimpurityB,3034-38-6,4-nitro-1H-imidazole
MTR203,MetronidazoleEPimpurityC,5006-69-9,2-(4-nitro-1H-imidazol-1-yl)ethan-1-ol
MTR204,MetronidazoleEPimpurityD,5006-68-8,2-(5-nitro-1H-imidazol-1-yl)ethan-1-ol
MTR205,MetronidazoleEPImpurityE,705-19-1,2-(2-Methyl-4-nitro-1H-imidazol-1-yl)ethan-1-ol
MTR206,MetronidazoleEPImpurityF,16156-94-8,2-(2-(2-methyl-5-nitro-1H-imidazol-1-yl)ethoxy)ethan-1-ol
MTR207,MetronidazoleEPimpurityG,1010-93-1,2-(2-methyl-5-nitro-1H-imidazol-1-yl)aceticacid Milnacipran
MLN100,Milnacipran,92623-85-3,
MLN401,"(1S,5R)-1-phenyl-3-oxabicyclo[3.1.0]hexan-2-one",63106-93-4,1-Phenyl-3-oxabicyclo[3.1.0]hexan-2-one Mirabegron
MRB100,Mirabegron,223673-61-8,2-Amino-N-[4-[2-[[(2R)-2-hydroxy-2-phenylethyl]amino]ethyl]phenyl]-4-thiazoleacetamide
MRB401,MirabegronImpurityA,29676-71-9,2-(2-aminothiazol-4-yl)acetic acid
MRB402,MirabegronImpurityB,1684453-05-1,2-OxoMirabegron MIRABEGRONIMPURITYMRBRC4 MRB403 (R)-2-(2-Aminothiazol-4-yl)-N-(4-(2-((2-hydroxy-2-phenyethyl)(methyl)amino)ethyl)phenyl)acetamide MirabegronEPImpurityG/MirabegronStage-1Impurity RB 207/ MRB40 521284-19-5 (R)-2-hydroxy-N-(4-nitrophenethyl)-2-phenylacetamide MirabegronEPImpurityF/MirabegronStage-2Impurity MRB206/ MRB40 223673-34-5 (R)-2-((4-Nitrophenethyl)amino)-1-phenylethan-1-ol
MRB406/MRB20,MirabegronEPImpurityB/MirabegronStage-3Impurity,391901-45-4,/521284-22-0 (R)-2-((4-Aminophenethyl)amino)-1-phenylethan-1-ol/MirabegronImpurityC MirabegronEPImpurityC/MirabegronDeshydroxyImpurity MRB407/203 1581284-82-3/1581284-79-8 2-(2-Aminothiazol-4-yl)-N-(4-(2-(phenethylamino)ethyl)phenyl)acetamide
MRB201,MirabegronEPImpurityA,1796931-48-0,MirabegronEnantiomer Page50
MRB409,MirabegronImpurity2/MirabegronEPImpurityD,2489747-26-2,(R)-2-(2-Aminothiazol-4-yl)-N-(4-(2-((4-(2-((2-hydroxy-2-phenylethyl)amino)ethyl)phenyl)amino)-2- oxoethyl)thiazol-2-yl)acetamide
MRB410,MirabegronImpurity3,2036283-13-1,2-(2-(2-(2-Aminothiazol-4-yl)acetamido)thiazol-4-yl)aceticacid
MRB411,MirabegronImpurity4,1684452-83-2,(R)-2-(2-Aminothiazol-4-yl)-N-(4-(2-(2-aminothiazol-4-yl)acetamido)phenethyl)-N-(2-hydroxy-2- phenylethyl)acetamide
MRB205,MirabegronEPImpurityE,29968-78-3,/24954-67-4
MRB209,2-(4-Nitrophenyl)ethanamineHydrochloride,1892-57-5,Mirabegron-ImpurityI (Freebase)
MRB501,MRB209 1892-57-5 Mirabegron-ImpurityI (Freebase),53266-94-7,MirabegronImpurityI
MRB502,MRB501 53266-94-7 MirabegronImpurityI,1603-91-4,MirabegronImpurityII
MRB503,MRB502 1603-91-4 MirabegronImpurityII,1310279-36-7,MirabegronImpurityIII
